doc_id,Question,Answer,Score
1,التصنيع ده بيستخدم ايه بشكل كتير اوي؟,فيه مشكلة في توفير المواد الخام. كتير من الورق بيتصنع من الخشب,0.8682770133018494
1,التصنيع ده بيستخدم ايه بشكل كتير اوي؟,خصوصاً مع الاهتمام بالحفاظ على البيئة. صناعة الورق بتستهلك كميات كبيرة من الأشجار,0.8657675981521606
1,التصنيع ده بيستخدم ايه بشكل كتير اوي؟,"وده بيأثر على استخدامه في الطباعة والتغليف وغيرها من الاستخدامات.
ومش بس كده",0.8645753860473633
1,التصنيع ده بيستخدم ايه بشكل كتير اوي؟,الطلب المتزايد على الورق بيحتاج لموارد كتير,0.8631444573402405
1,التصنيع ده بيستخدم ايه بشكل كتير اوي؟,صناعة الورق بتواجه منافسة قوية. الشركات الكبيرة بتحاول تطوير منتجاتها وتقديم أسعار منافسة,0.8597274422645569
1,التصنيع ده بيستخدم ايه بشكل كتير اوي؟,بقى فيه اهتمام بالابتكار في التصميمات والمواد المستخدمة. يعني الشركات بتحاول تطور أنواع ورق مختلفة لاستخدامات متنوعة,0.8591513633728027
1,التصنيع ده بيستخدم ايه بشكل كتير اوي؟,"عشان ينافس الورق المستورد.
وفي الورق",0.8578094244003296
1,التصنيع ده بيستخدم ايه بشكل كتير اوي؟,صناعة الورق بتواجه تحديات معينة. يعني مثلاً,0.8570401072502136
1,التصنيع ده بيستخدم ايه بشكل كتير اوي؟,خصوصاً مع ورق البردي اللي كان بيستخدم قديماً. النهاردة,0.8564755916595459
1,التصنيع ده بيستخدم ايه بشكل كتير اوي؟,صناعة الورق بتواجه تحديات كبيرة,0.8550064563751221
1, ايه المجال اللي بتخش فيه الصناعة؟,صناعة الورق على مستوى العالم,0.8641895651817322
1, ايه المجال اللي بتخش فيه الصناعة؟,في الفن والتصميم,0.8508004546165466
1, ايه المجال اللي بتخش فيه الصناعة؟,فيه تحديات بتواجه صناعة الورق. مثلاً,0.8495891094207764
1, ايه المجال اللي بتخش فيه الصناعة؟,"عشان ينافس الورق المستورد.
وفي الورق",0.849200427532196
1, ايه المجال اللي بتخش فيه الصناعة؟,خصوصاً مع الاهتمام بالحفاظ على البيئة. صناعة الورق بتستهلك كميات كبيرة من الأشجار,0.8449414968490601
1, ايه المجال اللي بتخش فيه الصناعة؟,وده بيتطلب استيراد الخشب من الخارج,0.8396610021591187
1, ايه المجال اللي بتخش فيه الصناعة؟,صناعة الورق بتواجه منافسة قوية. الشركات الكبيرة بتحاول تطوير منتجاتها وتقديم أسعار منافسة,0.8394675254821777
1, ايه المجال اللي بتخش فيه الصناعة؟,"وده بيساعد في الحفاظ على البيئة.
وعلى مستوى العالم",0.8394641876220703
1, ايه المجال اللي بتخش فيه الصناعة؟,صناعة الورق بتواجه تحديات معينة. يعني مثلاً,0.8386776447296143
1, ايه المجال اللي بتخش فيه الصناعة؟,بقى فيه اهتمام بالابتكار في التصميمات والمواد المستخدمة. يعني الشركات بتحاول تطور أنواع ورق مختلفة لاستخدامات متنوعة,0.8385270237922668
1, ليه بيحاولوا يطورو التصينع ده؟,فيه تحديات بتواجه صناعة الورق. مثلاً,0.8628308773040771
1, ليه بيحاولوا يطورو التصينع ده؟,"عشان ينافس الورق المستورد.
وفي الورق",0.8553972840309143
1, ليه بيحاولوا يطورو التصينع ده؟,وده بيتطلب استيراد الخشب من الخارج,0.8532374501228333
1, ليه بيحاولوا يطورو التصينع ده؟,خصوصاً مع ورق البردي اللي كان بيستخدم قديماً. النهاردة,0.8455058932304382
1, ليه بيحاولوا يطورو التصينع ده؟,"وده بيأثر على استخدامه في الطباعة والتغليف وغيرها من الاستخدامات.
ومش بس كده",0.8442813754081726
1, ليه بيحاولوا يطورو التصينع ده؟,"وده بيأثر على الطلب على الورق التقليدي.
وفي الورق",0.8370583057403564
1, ليه بيحاولوا يطورو التصينع ده؟,فيه مشكلة في توفير المواد الخام. كتير من الورق بيتصنع من الخشب,0.8331717848777771
1, ليه بيحاولوا يطورو التصينع ده؟,صناعة الورق بتواجه تحديات معينة. يعني مثلاً,0.829551100730896
1, ليه بيحاولوا يطورو التصينع ده؟,"وبعدها انتشر في كل العالم.
في مصر",0.8282496333122253
1, ليه بيحاولوا يطورو التصينع ده؟,"اللي بيزود التكلفة.
وكمان فيه تحدي في مواجهة السوق الإلكترونية. الناس بقت تميل لاستخدام الأجهزة الرقمية بدل الورق",0.8256285190582275
1, ايه المشاكل اللي بتقف قدام الصناعة دية؟,فيه تحديات بتواجه صناعة الورق. مثلاً,0.8852227926254272
1, ايه المشاكل اللي بتقف قدام الصناعة دية؟,فيه مشكلة في توفير المواد الخام. كتير من الورق بيتصنع من الخشب,0.8698017597198486
1, ايه المشاكل اللي بتقف قدام الصناعة دية؟,صناعة الورق بتواجه تحديات معينة. يعني مثلاً,0.8663653135299683
1, ايه المشاكل اللي بتقف قدام الصناعة دية؟,صناعة الورق بتواجه تحديات كبيرة,0.8660440444946289
1, ايه المشاكل اللي بتقف قدام الصناعة دية؟,صناعة الورق بتواجه منافسة قوية. الشركات الكبيرة بتحاول تطوير منتجاتها وتقديم أسعار منافسة,0.8524832725524902
1, ايه المشاكل اللي بتقف قدام الصناعة دية؟,الطلب المتزايد على الورق بيحتاج لموارد كتير,0.8428632020950317
1, ايه المشاكل اللي بتقف قدام الصناعة دية؟,"عشان ينافس الورق المستورد.
وفي الورق",0.8425629138946533
