doc_id,Question,Answer,frequency
12.0, العدة اليدوية للحرفيين بتتصنع ازاي,المعدات اللي بتستخدم في الزراعة زي الحراثات والمحاريث,5
8.0,ايه هي محتوايات السجارة؟,السجاير بيكون ليها تأثير على البيئة. يعني,4
18.0, ايه الحلو اللي بيعرف يعمله المخ؟,"وده كله بيجي من قوة العقل والإرادة.
ومش بس كده",4
19.0, مين اللي بيعلمنا دروس عن التفاؤل والواقعية؟,السراب بيفسر ليه أحياناً بنشوف الأشياء معوجة فوق الأرض السخنة,4
1.0,التصنيع ده بيستخدم ايه بشكل كتير اوي؟,الطلب المتزايد على الورق بيحتاج لموارد كتير,4
18.0, ايه اللي بيبين ان المخ قوي؟,"وده كله بيجي من قوة العقل والإرادة.
ومش بس كده",4
18.0, ايه اللي بيبين ان المخ قوي؟,هو اللي بيميزنا عن باقي المخلوقات. العقل ده مش بس عبارة عن تفكير وحل مشاكل,4
19.0, مين اللي بيعلمنا دروس عن التفاؤل والواقعية؟,النهاردة هنتكلم عن حاجة غريبة ومدهشة في نفس الوقت,4
1.0, ليه بيحاولوا يطورو التصينع ده؟,"وده بيأثر على الطلب على الورق التقليدي.
وفي الورق",4
7.0, احوال العلام ايه في الوقت دة؟,"وده ساعد في رفع مستوى المعيشة.
وكمان",4
19.0, مين اللي بيعلمنا دروس عن التفاؤل والواقعية؟,كان الناس بيشوفوا السراب ويفتكروه حاجات سحرية أو علامات من السماء. لكن بفضل العلم,4
14.0,ايه الفايتمينات اللي بتقوي عضمي؟,اللبن بيحتوي على بكتيريا نافعة. يعني,4
18.0, ايه الحلو اللي بيعرف يعمله المخ؟,هو اللي بيميزنا عن باقي المخلوقات. العقل ده مش بس عبارة عن تفكير وحل مشاكل,4
1.0,التصنيع ده بيستخدم ايه بشكل كتير اوي؟,خصوصاً مع ورق البردي اللي كان بيستخدم قديماً. النهاردة,4
18.0, ايه الحلو اللي بيعرف يعمله المخ؟,العقل هو اللي بيساعده يخطط ويتخذ الخطوات اللازمة لتحقيقه. ودي حاجة مهمة جداً,4
19.0,ايه اللي بيحصل في المناطق اللي حرارتها عالية؟,السراب بيفسر ليه أحياناً بنشوف الأشياء معوجة فوق الأرض السخنة,4
18.0, المخ محتاج لايه؟,"وده كله بيجي من قوة العقل والإرادة.
ومش بس كده",4
18.0, المخ محتاج لايه؟,هو اللي بيميزنا عن باقي المخلوقات. العقل ده مش بس عبارة عن تفكير وحل مشاكل,4
3.0,لما حد بيولد بتبقي ايه؟,"وده بيساعد في تأمين صحة الأم والطفل.
وفي موضوع الولادة",4
1.0, ايه المشاكل اللي بتيجي بسبب ان البني ادمين بقت تستعمل الجهاز الرقمي بدل الاوراق؟,"اللي بيزود التكلفة.
وكمان فيه تحدي في مواجهة السوق الإلكترونية. الناس بقت تميل لاستخدام الأجهزة الرقمية بدل الورق",4
11.0, ازاي ممكن نحافظ على حلاوة البشرة عن طريق حاجات طبيعية؟,"بيحرصوا على استخدام مستحضرات تجميلية تحافظ على نضارة وشباب الجلد.
وكمان",4
4.0, الميكب ليه اكتر من نوع براند؟,"من المكياج الناعم للمكياج الجريء.
ومش بس كده",4
17.0, الاطفال بتقابل مشاكل زي ايه؟,بيكتسب مهارات جديدة وبيتعلم حاجات مهمة زي حل المشاكل والتفاعل مع الآخرين. وفي مصر,4
17.0,ايه اللي في البداية بناخد بالنا منه في البيبي؟,بيبقى ليهم تأثير سحري على الكبار. الطفل المصري بيتربى في جو عائلي دافئ,4
6.0, التعابين بتسيطر علي ايه؟,الثعابين بتقوم بأدوار مهمة. بتساعد في السيطرة على أعداد الفئران والحشرات,4
12.0, المعادن في المجال الزراعي بيتم استخدامها ازاي؟,المعدات اللي بتستخدم في الزراعة زي الحراثات والمحاريث,4
17.0,ايه اللي في البداية بناخد بالنا منه في البيبي؟,الأطفال بيكون ليهم دور كبير. بيتلبسوا أحلى اللبس,4
2.0, ايه علاقة المشروعات بالشجر؟,دي حاجة أساسية في حياتنا وبيئتنا. الأشجار مش بس بتزين الشوارع والحدائق,4
11.0, هل فيه أكلات معينة بتساعد على اني احسن حالة البشرة,بيكون فيه وعي بأهمية التغذية الصحية للجلد. يعني,4
2.0, ايه المشاكل اللي موجودة قدام اني ازرع شجر؟,الأشجار بتساعد كمان في تخفيف حدة الجو. يعني في الصيف,4
2.0, ايه المشاكل اللي موجودة قدام اني ازرع شجر؟,الأشجار بتساعد في مواجهة تغير المناخ. يعني,4
10.0, الخضراوات بيخش في العلاج الطبيعي؟,الخضار بتكون ليها دور كبير في العلاجات الطبيعية. يعني,4
2.0, ايه علاقة الشجر بالمية؟,دي حاجة أساسية في حياتنا وبيئتنا. الأشجار مش بس بتزين الشوارع والحدائق,4
19.0, ايه اللي بيخلي الظاهرة تتعمل؟,بيتكسر ويغير مساره. وده بيخلق الوهم إن فيه صورة معكوسة على الأرض,4
6.0,ايه هي التعابين؟,الثعابين على مستوى العالم,4
19.0, ايه اللي بيخلي الظاهرة تتعمل؟,اللي بيظهر كأنه بركة مياه في الصحراء,4
12.0, عايزين نعرف المعادن في المركب بتساعد ازاي في اني انقل البضايع؟,المعدات اللي بتستخدم في الزراعة زي الحراثات والمحاريث,4
18.0,ايه هو المخ؟,"وده كله بيجي من قوة العقل والإرادة.
ومش بس كده",4
13.0, في العلاج والدوا، بيبقى ليه دور إيه المعدن الأصفر ده؟,الذهب بيكون ليه دور في الصناعات الدوائية والتجميلية. يعني,4
18.0,ايه هو المخ؟,هو اللي بيميزنا عن باقي المخلوقات. العقل ده مش بس عبارة عن تفكير وحل مشاكل,4
